JobTitle,JobTitleURI,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,18,5,college,operations management,2,42363,9938
software developer,https://www.wikidata.org/wiki/Q183888,Male,21,5,college,management,5,108476,11128
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,19,4,doctorate,administration,5,90208,9268
software developer,https://www.wikidata.org/wiki/Q183888,Male,20,5,master's degree,marketing,4,108080,10154
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,26,5,master's degree,engineer,5,99464,9319
information technology,https://www.wikidata.org/wiki/Q11661,Female,20,5,doctorate,operations management,4,70890,10126
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,20,5,college,marketing,4,67585,10541
software developer,https://www.wikidata.org/wiki/Q183888,Male,18,4,doctorate,engineer,5,97523,10240
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,33,5,high school,engineer,5,112976,9836
salesperson,https://www.wikidata.org/wiki/Q685433,Female,35,5,college,engineer,5,106524,9941
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,24,5,doctorate,engineer,5,102261,10212
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,18,5,college,management,3,62759,10124
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,19,5,college,marketing,3,84007,8990
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,30,5,master's degree,government administration,5,86220,9583
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,35,5,doctorate,operations management,4,95584,9745
marketing,https://www.wikidata.org/wiki/Q39809,Female,27,5,doctorate,management,3,73357,10334
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,23,5,doctorate,government administration,5,88422,10768
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,24,5,college,government administration,5,99545,9949
salesperson,https://www.wikidata.org/wiki/Q685433,Male,21,5,high school,engineer,5,90386,9461
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,30,5,college,engineer,5,92067,9838
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,36,5,doctorate,engineer,5,108446,9210
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,24,5,doctorate,marketing,3,83323,9329
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,24,5,doctorate,marketing,3,85205,9792
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,35,5,college,management,1,72038,9031
software developer,https://www.wikidata.org/wiki/Q183888,Male,21,4,doctorate,engineer,5,132823,9625
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,26,5,college,engineer,2,71182,10015
software developer,https://www.wikidata.org/wiki/Q183888,Male,19,5,master's degree,government administration,4,100305,9618
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,35,5,doctorate,management,3,88566,9469
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,34,5,doctorate,engineer,4,104271,10177
information technology,https://www.wikidata.org/wiki/Q11661,Female,38,5,college,government administration,5,112392,10504
software developer,https://www.wikidata.org/wiki/Q183888,Male,20,5,master's degree,management,2,66359,10137
salesperson,https://www.wikidata.org/wiki/Q685433,Male,35,5,master's degree,management,5,103007,10512
marketing,https://www.wikidata.org/wiki/Q39809,Female,26,5,doctorate,operations management,4,80306,9233
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,22,5,high school,engineer,3,74523,9972
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,45,5,doctorate,management,5,113252,10139
software developer,https://www.wikidata.org/wiki/Q183888,Male,27,5,doctorate,management,4,96040,10050
software developer,https://www.wikidata.org/wiki/Q183888,Male,21,5,high school,management,4,91674,9780
software developer,https://www.wikidata.org/wiki/Q183888,Male,31,5,high school,operations management,3,92928,9094
information technology,https://www.wikidata.org/wiki/Q11661,Female,33,5,college,management,4,84638,9409
information technology,https://www.wikidata.org/wiki/Q11661,Male,19,5,college,government administration,4,78986,9023
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,29,5,doctorate,government administration,5,96355,9784
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,32,5,doctorate,management,3,87121,8703
software developer,https://www.wikidata.org/wiki/Q183888,Male,31,5,doctorate,marketing,2,88724,8949
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Male,22,5,master's degree,engineer,2,58219,9868
software developer,https://www.wikidata.org/wiki/Q183888,Male,25,5,master's degree,marketing,5,119024,11293
software developer,https://www.wikidata.org/wiki/Q183888,Male,22,5,master's degree,management,3,81503,9729
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,21,5,doctorate,operations management,3,70643,10033
graphic designer,https://www.wikidata.org/wiki/Q627325,Female,26,5,doctorate,marketing,3,74167,10346
marketing,https://www.wikidata.org/wiki/Q39809,Male,21,5,college,management,5,86886,9424
information technology,https://www.wikidata.org/wiki/Q11661,Female,22,5,high school,marketing,4,102120,10215
salesperson,https://www.wikidata.org/wiki/Q685433,Male,18,4,master's degree,operations management,5,90780,9353
software developer,https://www.wikidata.org/wiki/Q183888,Male,18,4,master's degree,operations management,4,89474,9104
marketing,https://www.wikidata.org/wiki/Q39809,Female,35,5,doctorate,engineer,5,97376,9564
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,33,5,master's degree,marketing,2,89415,9654
software developer,https://www.wikidata.org/wiki/Q183888,Female,22,4,master's degree,operations management,3,88037,8949
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,24,4,college,government administration,4,71105,8623
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Female,31,5,high school,engineer,2,62692,8886
software developer,https://www.wikidata.org/wiki/Q183888,Male,40,5,doctorate,management,4,112466,9493
data scientist,https://www.wikidata.org/wiki/Q29169143,Female,49,5,college,operations management,3,71193,8331
marketing,https://www.wikidata.org/wiki/Q39809,Female,20,5,master's degree,government administration,4,76286,9479
financial analyst,https://www.wikidata.org/wiki/Q1416279,Male,18,5,doctorate,engineer,4,97328,9874
graphic designer,https://www.wikidata.org/wiki/Q627325,Male,34,5,master's degree,management,3,86766,9841
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,41,5,college,operations management,2,82453,9564
software developer,https://www.wikidata.org/wiki/Q183888,Male,19,5,doctorate,government administration,3,88814,10153
vehicle operator,https://www.wikidata.org/wiki/Q23640580,Male,31,5,college,management,4,82832,9958
salesperson,https://www.wikidata.org/wiki/Q685433,Female,33,5,high school,engineer,3,83034,8841
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,53,5,college,engineer,5,127085,9687
salesperson,https://www.wikidata.org/wiki/Q685433,Male,24,5,high school,government administration,1,66168,9242
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,18,5,doctorate,government administration,4,59212,10209
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,18,5,high school,operations management,2,55189,9405
manager,https://www.wikidata.org/wiki/Q2462658,Male,25,5,college,engineer,5,131311,11067
salesperson,https://www.wikidata.org/wiki/Q685433,Female,31,5,college,management,1,52633,9516
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,31,4,doctorate,operations management,5,101154,10324
financial analyst,https://www.wikidata.org/wiki/Q1416279,Female,42,5,college,engineer,5,113640,8762
data scientist,https://www.wikidata.org/wiki/Q29169143,Male,22,4,high school,management,2,50401,8590
marketing,https://www.wikidata.org/wiki/Q39809,Female,23,5,doctorate,government administration,3,46263,9432
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,36,4,college,management,3,74938,8234
marketing,https://www.wikidata.org/wiki/Q39809,Female,39,5,college,marketing,5,103384,9168
warehouse worker,https://www.wikidata.org/wiki/Q92204276,Female,39,5,college,engineer,2,77584,9798
